Obs,Elev,Transect,Element_id
1,-1.673,9,11b
2,-2.144,9,11b
3,-2.206,9,11b
4,-2.146,9,11b
5,-1.982,9,11b
6,-1.977,9,11b
7,-1.95,9,11b
8,-2.118,9,11b
9,-2.177,9,11b
10,-2.021,9,11b
11,-1.332,9,11b
12,-1.818,9,11b
13,-1.864,9,11b
14,-2.056,9,11b
15,-1.902,9,11b
16,-2.006,9,11b
17,-1.757,8,11b
18,-1.666,8,11b
19,-1.936,8,11b
20,-1.264,1,11b
21,-1.462,1,10b
22,-1.46,1,10b
23,-1.002,1,10b
24,-1.63,1,10b
25,-1.339,1,10b
26,-0.735,1,10b
27,-1.319,1,10b
28,-1.176,1,10b
29,-1.4,1,10b
30,-1.088,1,10b
31,-1.39,1,10b
32,-1.599,1,10b
33,-1.555,1,10b
34,-1.226,1,10b
35,-1.152,2,9b
36,-1.213,2,9b
37,-1.226,2,9b
38,-0.814,2,9b
39,-1.59,2,9b
40,-1.639,2,9b
41,-1.514,2,9b
42,-0.993,1,9b
43,-1.136,1,9b
44,-1.09,1,9b
45,-1.158,1,9b
46,-1.047,1,9b
47,-1.259,1,9b
48,-1.08,1,9b
49,-0.827,1,9b
50,-0.582,1,9b
51,-0.588,1,9b
52,-1.066,1,9b
53,-1.264,1,8a
54,-1.128,1,8a
55,-1.459,1,8a
56,-1.129,1,8a
57,-0.73,1,8a
58,-1.075,1,8a
59,-1.173,1,8a
60,-0.815,1,8a
61,-1.043,1,8a
62,-0.92,1,8a
63,-1.252,1,8a
64,-1.091,1,8a
65,-1.15,1,8a
66,-1.118,1,8a
67,-1.541,1,7
68,-1.647,1,7
69,-1.31,1,7
70,-0.716,1,7
71,-1.007,1,7
72,-0.482,1,7
73,-0.683,1,7
74,-1.285,1,7
75,-1.163,1,7
76,-1.411,1,7
77,-0.721,1,7
78,-1.55,1,7
79,-1.514,1,5
80,-1.267,1,5
81,-1.324,1,5
82,-1.099,1,5
83,-1.702,1,5
84,-1.194,1,5
85,-1.727,1,5
86,-1.375,1,5
