"","Date_MM_DD_YYYY","Time","Recorder","Site","Dist_shore_ft","Counter","Quad_type","Quad_area_m","Quad_depth_m","Status_Live_Dead","Count_0.25m"
"1","1/17/2018","8:25","mel","CKIA",25,"PF","Grub",0.25,0.1,"L",162
"2","1/17/2018","8:25","mel","CKIA",25,"SH","Grub",0.25,0.1,"L",15
"3","1/17/2018","8:25","mel","CKIA",25,"PF","Grub",0.25,0.1,"D",40
"4","1/17/2018","8:25","mel","CKIA",25,"SH","Grub",0.25,0.1,"D",9.5
"5","1/17/2018","9:03","mel","CKNB",100,"PF","Grub",0.25,0.1,"L",104
"6","1/17/2018","9:03","mel","CKNB",100,"SH","Grub",0.25,0.1,"L",67
"7","1/17/2018","9:03","mel","CKNB",100,"PF","Grub",0.25,0.1,"D",9
"8","1/17/2018","9:03","mel","CKNB",100,"SH","Grub",0.25,0.1,"D",9
"9","1/17/2018","9:27","mel","CKOA",75,"PF","Grub",0.25,0.1,"L",3
"10","1/17/2018","9:27","mel","CKOA",75,"SH","Grub",0.25,0.1,"L",3
"11","1/17/2018","9:27","mel","CKOA",75,"PF","Grub",0.25,0.1,"D",0
"12","1/17/2018","9:27","mel","CKOA",75,"SH","Grub",0.25,0.1,"D",0
"13","1/17/2018","9:57","mel","LCIA",20,"PF","Grub",0.25,0.1,"L",67
"14","1/17/2018","9:57","mel","LCIA",20,"SH","Grub",0.25,0.1,"L",61
"15","1/17/2018","9:57","mel","LCIA",20,"PF","Grub",0.25,0.1,"D",2
"16","1/17/2018","9:57","mel","LCIA",20,"SH","Grub",0.25,0.1,"D",1
"17","1/17/2018","10:25","mel","LCNA",100,"PF","Grub",0.25,0.1,"L",15
"18","1/17/2018","10:25","mel","LCNA",100,"SH","Grub",0.25,0.1,"L",13
"19","1/17/2018","10:25","mel","LCNA",100,"PF","Grub",0.25,0.1,"D",0
"20","1/17/2018","10:25","mel","LCNA",100,"SH","Grub",0.25,0.1,"D",0
"21","","","","",NA,"","",NA,NA,"",NA
"22","","","","",NA,"","",NA,NA,"",NA
"23","","","","",NA,"","",NA,NA,"",NA
"24","","","","",NA,"","",NA,NA,"",NA
"25","","","","",NA,"","",NA,NA,"",NA
"26","","","","",NA,"","",NA,NA,"",NA
"27","","","","",NA,"","",NA,NA,"",NA
"28","","","","",NA,"","",NA,NA,"",NA
"29","","","","",NA,"","",NA,NA,"",NA
"30","","","","",NA,"","",NA,NA,"",NA
"31","","","","",NA,"","",NA,NA,"",NA
"32","","","","",NA,"","",NA,NA,"",NA
"33","","","","",NA,"","",NA,NA,"",NA
"34","","","","",NA,"","",NA,NA,"",NA
"35","","","","",NA,"","",NA,NA,"",NA
"36","","","","",NA,"","",NA,NA,"",NA
"37","","","","",NA,"","",NA,NA,"",NA
"38","","","","",NA,"","",NA,NA,"",NA
"39","","","","",NA,"","",NA,NA,"",NA
"40","","","","",NA,"","",NA,NA,"",NA
"41","","","","",NA,"","",NA,NA,"",NA
"42","","","","",NA,"","",NA,NA,"",NA
"43","","","","",NA,"","",NA,NA,"",NA
"44","","","","",NA,"","",NA,NA,"",NA
"45","","","","",NA,"","",NA,NA,"",NA
"46","","","","",NA,"","",NA,NA,"",NA
"47","","","","",NA,"","",NA,NA,"",NA
"48","","","","",NA,"","",NA,NA,"",NA
"49","","","","",NA,"","",NA,NA,"",NA
"50","","","","",NA,"","",NA,NA,"",NA
"51","","","","",NA,"","",NA,NA,"",NA
"52","","","","",NA,"","",NA,NA,"",NA
"53","","","","",NA,"","",NA,NA,"",NA
"54","","","","",NA,"","",NA,NA,"",NA
"55","","","","",NA,"","",NA,NA,"",NA
"56","","","","",NA,"","",NA,NA,"",NA
"57","","","","",NA,"","",NA,NA,"",NA
"58","","","","",NA,"","",NA,NA,"",NA
"59","","","","",NA,"","",NA,NA,"",NA
"60","","","","",NA,"","",NA,NA,"",NA
"61","","","","",NA,"","",NA,NA,"",NA
"62","","","","",NA,"","",NA,NA,"",NA
"63","","","","",NA,"","",NA,NA,"",NA
"64","","","","",NA,"","",NA,NA,"",NA
