"","Year","Landings_app","Landings_suw","Landings_state"
"1",1950,NA,NA,895248
"2",1951,573064,8943,735304
"3",1952,451145,438,562987
"4",1953,459225,153,585356
"5",1954,553946,394,685496
"6",1955,542874,NA,649581
"7",1956,722046,3003,888735
"8",1957,624222,704,734878
"9",1958,713230,NA,824729
"10",1959,1268757,1637,1454998
"11",1960,1744760,3691,1975400
"12",1961,2947137,23509,3326601
"13",1962,4366700,25350,5019771
"14",1963,3810500,30200,4362848
"15",1964,2281313,42177,2885123
"16",1965,2383022,50587,2954745
"17",1966,3886424,87674,4291925
"18",1967,4303697,82139,4761130
"19",1968,4937702,159921,5568773
"20",1969,4464588,165163,5152742
"21",1970,3126415,61514,3786519
"22",1971,3250163,59993,3710542
"23",1972,3013986,63896,3357371
"24",1973,2201898,42545,2531325
"25",1974,2461659,22899,2751385
"26",1975,2056857,12179,2213065
"27",1976,2543053,16189,2714450
"28",1977,3945907,23867,4197584
"29",1978,5653639,44269,5973863
"30",1979,5926947,47611,6206259
"31",1980,6500425,75908,6853310
"32",1981,6740859,149454,7269384
"33",1982,4259055,141202,4898688
"34",1983,4015459,87132,4404453
"35",1984,NA,NA,NA
"36",1985,NA,NA,NA
"37",1986,484963,1077487,2201007
"38",1987,2810197,496523,3791748
"39",1988,1293185,505228,2192095
"40",1989,829090,728627,1857754
"41",1990,1524679,367777,2250475
"42",1991,1270117,152971,1917655
"43",1992,1865199,90914,2628142
"44",1993,2022652,68892,2788595
"45",1994,1480521,103011,2110112
"46",1995,1033316,60304,1512545
"47",1996,980550,73435,1447417
"48",1997,1420928,87534,1898939
"49",1998,1383572,63721,1532785
"50",1999,2122624,136741,2331718
"51",2000,2330659,122137,2570230
"52",2001,2335597,78007,2582715
"53",2002,1727715,89290,1935435
"54",2003,1451512,77283,1734664
"55",2004,1504495,54598,1670528
"56",2005,1263357,120342,1455028
"57",2006,2128219,178436,2444883
"58",2007,2703462,188671,3028175
"59",2008,2264684,128169,2562153
"60",2009,2702321,63265,2915429
"61",2010,1971335,58894,2210328
"62",2011,2812501,147420,3179210
"63",2012,3037217,169129,3408904
"64",2013,1065811,150579,1290470
"65",2014,608538,65728,753797
"66",2015,518204,210000,846441
"67",2016,374051,374166,881813
"68",2017,263150,470418,793019
"69",2018,9706,71634,83153
