Year,Landings,Area
1950,895248,State
1951,735304,State
1952,562987,State
1953,585356,State
1954,685496,State
1955,649581,State
1956,888735,State
1957,734878,State
1958,824729,State
1959,1454998,State
1960,1975400,State
1961,3326601,State
1962,5019771,State
1963,4362848,State
1964,2885123,State
1965,2954745,State
1966,4291925,State
1967,4761130,State
1968,5568773,State
1969,5152742,State
1970,3786519,State
1971,3710542,State
1972,3357371,State
1973,2531325,State
1974,2751385,State
1975,2213065,State
1976,2714450,State
1977,4197584,State
1978,5973863,State
1979,6206259,State
1980,6853310,State
1981,7269384,State
1982,4898688,State
1983,4404453,State
1984,NA,State
1985,NA,State
1986,2201007,State
1987,3791748,State
1988,2192095,State
1989,1857754,State
1990,2250475,State
1991,1917655,State
1992,2628142,State
1993,2788595,State
1994,2110112,State
1995,1512545,State
1996,1447417,State
1997,1898939,State
1998,1532785,State
1999,2331718,State
2000,2570230,State
2001,2582715,State
2002,1935435,State
2003,1734664,State
2004,1670528,State
2005,1455028,State
2006,2444883,State
2007,3028175,State
2008,2562153,State
2009,2915429,State
2010,2210328,State
2011,3179210,State
2012,3408904,State
2013,1290470,State
2014,753797,State
2015,846441,State
2016,881813,State
2017,793019,State
2018,,State
1950,NA,Apalachicola
1951,573064,Apalachicola
1952,451145,Apalachicola
1953,459225,Apalachicola
1954,553946,Apalachicola
1955,542874,Apalachicola
1956,722046,Apalachicola
1957,624222,Apalachicola
1958,713230,Apalachicola
1959,1268757,Apalachicola
1960,1744760,Apalachicola
1961,2947137,Apalachicola
1962,4366700,Apalachicola
1963,3810500,Apalachicola
1964,2281313,Apalachicola
1965,2383022,Apalachicola
1966,3886424,Apalachicola
1967,4303697,Apalachicola
1968,4937702,Apalachicola
1969,4464588,Apalachicola
1970,3126415,Apalachicola
1971,3250163,Apalachicola
1972,3013986,Apalachicola
1973,2201898,Apalachicola
1974,2461659,Apalachicola
1975,2056857,Apalachicola
1976,2543053,Apalachicola
1977,3945907,Apalachicola
1978,5653639,Apalachicola
1979,5926947,Apalachicola
1980,6500425,Apalachicola
1981,6740859,Apalachicola
1982,4259055,Apalachicola
1983,4015459,Apalachicola
1984,NA,Apalachicola
1985,NA,Apalachicola
1986,484963,Apalachicola
1987,2810197,Apalachicola
1988,1293185,Apalachicola
1989,829090,Apalachicola
1990,1524679,Apalachicola
1991,1270117,Apalachicola
1992,1865199,Apalachicola
1993,2022652,Apalachicola
1994,1480521,Apalachicola
1995,1033316,Apalachicola
1996,980550,Apalachicola
1997,1420928,Apalachicola
1998,1383572,Apalachicola
1999,2122624,Apalachicola
2000,2330659,Apalachicola
2001,2335597,Apalachicola
2002,1727715,Apalachicola
2003,1451512,Apalachicola
2004,1504495,Apalachicola
2005,1263357,Apalachicola
2006,2128219,Apalachicola
2007,2703462,Apalachicola
2008,2264684,Apalachicola
2009,2702321,Apalachicola
2010,1971335,Apalachicola
2011,2812501,Apalachicola
2012,3037217,Apalachicola
2013,1065811,Apalachicola
2014,608538,Apalachicola
2015,518204,Apalachicola
2016,374051,Apalachicola
2017,263150,Apalachicola
1950,NA,Suwannee Snd
1951,8943,Suwannee Snd
1952,438,Suwannee Snd
1953,153,Suwannee Snd
1954,394,Suwannee Snd
1955,NA,Suwannee Snd
1956,3003,Suwannee Snd
1957,704,Suwannee Snd
1958,NA,Suwannee Snd
1959,1637,Suwannee Snd
1960,3691,Suwannee Snd
1961,23509,Suwannee Snd
1962,25350,Suwannee Snd
1963,30200,Suwannee Snd
1964,42177,Suwannee Snd
1965,50587,Suwannee Snd
1966,87674,Suwannee Snd
1967,82139,Suwannee Snd
1968,159921,Suwannee Snd
1969,165163,Suwannee Snd
1970,61514,Suwannee Snd
1971,59993,Suwannee Snd
1972,63896,Suwannee Snd
1973,42545,Suwannee Snd
1974,22899,Suwannee Snd
1975,12179,Suwannee Snd
1976,16189,Suwannee Snd
1977,23867,Suwannee Snd
1978,44269,Suwannee Snd
1979,47611,Suwannee Snd
1980,75908,Suwannee Snd
1981,149454,Suwannee Snd
1982,141202,Suwannee Snd
1983,87132,Suwannee Snd
1984,NA,Suwannee Snd
1985,NA,Suwannee Snd
1986,1077487,Suwannee Snd
1987,496523,Suwannee Snd
1988,505228,Suwannee Snd
1989,728627,Suwannee Snd
1990,367777,Suwannee Snd
1991,152971,Suwannee Snd
1992,90914,Suwannee Snd
1993,68892,Suwannee Snd
1994,103011,Suwannee Snd
1995,60304,Suwannee Snd
1996,73435,Suwannee Snd
1997,87534,Suwannee Snd
1998,63721,Suwannee Snd
1999,136741,Suwannee Snd
2000,122137,Suwannee Snd
2001,78007,Suwannee Snd
2002,89290,Suwannee Snd
2003,77283,Suwannee Snd
2004,54598,Suwannee Snd
2005,120342,Suwannee Snd
2006,178436,Suwannee Snd
2007,188671,Suwannee Snd
2008,128169,Suwannee Snd
2009,63265,Suwannee Snd
2010,58894,Suwannee Snd
2011,147420,Suwannee Snd
2012,169129,Suwannee Snd
2013,150579,Suwannee Snd
2014,65728,Suwannee Snd
2015,210000,Suwannee Snd
2016,374166,Suwannee Snd
2017,470418,Suwannee Snd
2018,,Suwannee Snd
